qid,destination_id,cosine_sim,tag_match_count,budget_delta,region_match,raw_score,label
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,7ae3da06-e7f2-4f8a-8d43-a2e4a7b5c0c3,0.6183,1,,True,2.614869122643478,3
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,fa099b17-5489-4d2b-8168-fbb6a88c55fb,0.5785,1,,True,2.6212038312534616,3
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,68724c56-dedf-4e4d-8dcf-80a4e370ccff,0.564,1,,True,2.7142940642954243,3
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,6d2d0867-7e58-4d48-b7d2-d5a672e9af1f,0.542,1,,True,2.680931439667591,3
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,55e06fa1-6faf-47d1-86c9-e8cd39e8248e,0.5287,1,,True,2.6487207938113024,3
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,71ce05f0-87c4-4c72-b136-803c79195153,0.5163,1,,True,2.350826652376444,2
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,02fd69af-c76a-4317-8a0a-db07a1ec9cda,0.5021,1,,True,2.6345028595203344,3
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,4b5fba89-e47c-44c9-a778-8ac557773ddd,0.4915,1,,True,2.3544682455097226,2
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,3de34104-c614-4ff5-8666-4c10885ce3e4,0.486,1,,True,2.552928687191096,3
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,4f24aefb-4965-4cd2-8229-ebe93e7a5143,0.472,1,,True,2.414404198507271,2
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,e3e70dc8-21c7-4080-82ad-d1d91cb5fdd6,0.4608,1,,True,2.175941875138308,1
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,1467a957-f1d3-40bb-b013-3489460df940,0.4583,1,,True,2.327470344312822,2
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,92c1eb9b-dd87-4cc0-b96a-b9d7e3f87285,0.452,1,,True,2.410804561309565,2
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,c67ed48c-bbb4-4488-93ed-64289b7d61c2,0.452,1,0.0,True,2.4479448070711896,2
synthetic-486f50a9-a398-4565-a98c-123b7baf42a2,bcc21f9e-9b4a-4cd1-a387-acf15f8aa829,0.4499,1,0.0,True,2.3285518153833378,2
synthetic-5a339821-e510-44f3-8509-8709d80b9622,5a339821-e510-44f3-8509-8709d80b9622,0.8978,0,0.0,True,3.178688964720124,3
synthetic-5a339821-e510-44f3-8509-8709d80b9622,4b82cd41-660f-4bf0-afb5-6afea5d85de9,0.6038,0,-1.0,True,1.8140105620584797,0
synthetic-5a339821-e510-44f3-8509-8709d80b9622,a24e4459-40d2-4337-91e8-9166ce4da56a,0.5768,0,-1.0,True,1.6075656995153393,0
synthetic-5a339821-e510-44f3-8509-8709d80b9622,01a7cbe1-1603-4d87-a06a-09c9e87d982c,0.5697,0,0.0,True,2.2230019169043502,2
synthetic-5a339821-e510-44f3-8509-8709d80b9622,157f8937-753c-469c-8a23-b17bce19dfe3,0.558,0,0.0,True,2.0587466510678136,1
synthetic-5a339821-e510-44f3-8509-8709d80b9622,9cf9c2bc-4b5a-476e-a02a-04de9d3feed6,0.5347,0,-1.0,True,1.7169990221121436,0
synthetic-5a339821-e510-44f3-8509-8709d80b9622,39ad5a77-07d8-4eaa-8a93-1d4af215ec02,0.534,0,0.0,True,1.9828934687451722,1
synthetic-5a339821-e510-44f3-8509-8709d80b9622,b0c35ef8-d8b6-4611-b898-f40d1378a8fd,0.5338,0,-1.0,True,1.5364512481233488,0
synthetic-5a339821-e510-44f3-8509-8709d80b9622,6806b507-0457-4870-b6b2-c31a3658b9d9,0.5291,0,,True,2.1224447540565348,1
synthetic-5a339821-e510-44f3-8509-8709d80b9622,035e786a-ff1a-4c38-aa16-5ac987900d12,0.5222,0,,True,2.0892382290209746,1
synthetic-5a339821-e510-44f3-8509-8709d80b9622,a4e6e7c2-da1c-4dd8-92aa-0d70d9d76fc0,0.5157,0,-1.0,True,1.7339922956981404,0
synthetic-5a339821-e510-44f3-8509-8709d80b9622,fb15a98a-9a48-41f2-b487-c38cb9da05ab,0.5016,0,0.0,True,2.332679564962644,2
synthetic-5a339821-e510-44f3-8509-8709d80b9622,cf596cec-ca16-46d1-b2d9-abdac41d4477,0.4941,0,0.0,True,2.023893429681627,1
synthetic-5a339821-e510-44f3-8509-8709d80b9622,35ff537d-8e63-41fd-990e-6335424e3183,0.4932,0,,True,2.0523622650596196,1
synthetic-5a339821-e510-44f3-8509-8709d80b9622,7e58fe40-e35a-4070-b21e-cd0160ace74d,0.4893,0,,True,1.8062658006699013,0
